nohup: ignoring input
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Python : 3.10.18
PyTorch: 2.4.1+cu121 | CUDA: True
GPU    : NVIDIA GeForce RTX 4070 Laptop GPU
VRAM   : 8.2 GB

Profile         : full
Algos           : ['PPO']
Stages          : ['1-1', '1-2', '4-1', '8-1']
Seeds           : [42, 123, 2024]
Total timesteps : 500,000
Total treinos   : 12
Reward shaping  : não
Output em       : /home/murilo/Documents/academico/unesp_cc/repos/unesp-paper-deep-reinforcement-learning-platform-2d-games/mario_drl_results


======================================================================
[1/12] PPO | stage 1-1 | seed 42
======================================================================

► [PPO_stage1-1_seed42] treinando (500,000 timesteps restantes, n_envs=8)
  [eval @ 415,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 420,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 425,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 430,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 435,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 440,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 445,000] reward= +252.00± 0.00  completion=0%  max_x_avg=315
  [eval @ 450,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 455,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 460,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 465,000] reward=  -21.00± 0.00  completion=0%  max_x_avg=434
  [eval @ 470,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 475,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 480,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 485,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 490,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 495,000] reward= -455.00± 0.00  completion=0%  max_x_avg=50
  [eval @ 500,000] reward= -415.00± 0.00  completion=0%  max_x_avg=40
 100% ━━━━━━━━━━━━━━━━━━━━━━━━ 500,736/500,000  [ 1:08:11 < 0:00:00 , 426 it/s ]
✓ [PPO_stage1-1_seed42] concluído em 68.2 min — modelo: /home/murilo/Documents/academico/unesp_cc/repos/unesp-paper-deep-reinforcement-learning-platform-2d-games/mario_drl_results/models/PPO_stage1-1_seed42.zip

======================================================================
[2/12] PPO | stage 1-1 | seed 123
======================================================================

► [PPO_stage1-1_seed123] treinando (500,000 timesteps restantes, n_envs=8)
  [eval @   5,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  10,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  15,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  20,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  25,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  30,000] reward= -415.00± 0.00  completion=0%  max_x_avg=40
  [eval @  35,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  40,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  45,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  50,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  55,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  60,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  65,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  70,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  75,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @  80,000] reward=  -21.00± 0.00  completion=0%  max_x_avg=434
  [eval @  85,000] reward= +245.00± 0.00  completion=0%  max_x_avg=310
  [eval @  90,000] reward= +240.00± 0.00  completion=0%  max_x_avg=305
  [eval @  95,000] reward= +248.00± 0.00  completion=0%  max_x_avg=312
  [eval @ 100,000] reward= +249.00± 0.00  completion=0%  max_x_avg=312
  [eval @ 105,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 110,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 115,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 120,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 125,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 130,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 135,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 140,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 145,000] reward=  -21.00± 0.00  completion=0%  max_x_avg=435
  [eval @ 150,000] reward= +245.00± 0.00  completion=0%  max_x_avg=310
  [eval @ 155,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 160,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 165,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 170,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
